date,description,amount
2026-01-02,Salary,2650.0
2026-01-04,Carrefour groceries,-82.4
2026-01-05,Uber airport ride,-39.5
2026-01-06,Netflix subscription,-12.99
2026-01-07,Starbucks coffee,-5.2
2026-01-08,Mercadona groceries,-46.7
2026-01-10,Restaurant dinner,-58.4
2026-01-11,Spotify subscription,-9.99
2026-01-13,Lidl groceries,-24.9
2026-01-15,Cafe brunch,-18.3
2026-01-17,Uber trip downtown,-14.8
2026-01-18,McDonalds lunch,-10.6
2026-01-20,Aldi groceries,-31.5
2026-01-22,Restaurant tapas,-41.9
2026-01-25,Prime subscription,-8.99
2026-01-28,Freelance payment,420.0
2026-02-01,Salary,2850.0
2026-02-03,Carrefour groceries,-57.3
2026-02-04,Uber ride home,-11.4
2026-02-05,Netflix subscription,-12.99
2026-02-06,Starbucks coffee,-7.1
2026-02-08,Mercadona groceries,-73.6
2026-02-09,Restaurant dinner,-66.2
2026-02-10,Spotify subscription,-9.99
2026-02-12,Lidl groceries,-42.8
2026-02-14,Cafe coffee,-4.7
2026-02-16,Uber airport ride,-36.9
2026-02-17,McDonalds lunch,-12.2
2026-02-19,Aldi groceries,-29.3
2026-02-21,Restaurant sushi,-72.5
2026-02-24,Prime subscription,-8.99
2026-02-27,Bonus,600.0
2026-03-01,Salary,2400.0
2026-03-02,Carrefour groceries,-49.8
2026-03-03,Uber ride,-9.6
2026-03-04,Netflix subscription,-12.99
2026-03-05,Starbucks coffee,-4.3
2026-03-06,Mercadona groceries,-38.9
2026-03-08,Restaurant dinner,-34.7
2026-03-10,Spotify subscription,-9.99
2026-03-12,Lidl groceries,-21.4
2026-03-13,Cafe croissant,-3.8
2026-03-15,Uber airport ride,-28.5
2026-03-16,McDonalds lunch,-8.9
2026-03-18,Aldi groceries,-19.7
2026-03-21,Restaurant tapas,-29.4
2026-03-24,Prime subscription,-8.99
2026-03-29,Freelance payment,250.0
2026-04-01,Salary,3200.0
2026-04-02,Carrefour groceries,-91.2
2026-04-03,Uber trip downtown,-17.8
2026-04-04,Netflix subscription,-12.99
2026-04-05,Starbucks coffee,-8.4
2026-04-06,Mercadona groceries,-65.3
2026-04-07,Restaurant dinner,-83.6
2026-04-09,Spotify subscription,-9.99
2026-04-11,Lidl groceries,-47.9
2026-04-13,Cafe sandwich,-11.2
2026-04-15,Uber ride home,-13.6
2026-04-17,McDonalds lunch,-13.4
2026-04-19,Aldi groceries,-36.8
2026-04-22,Restaurant sushi,-88.1
2026-04-25,Prime subscription,-8.99
2026-04-28,Bonus,950.0
2026-05-01,Salary,2300.0
2026-05-03,Carrefour groceries,-36.5
2026-05-04,Uber ride,-8.7
2026-05-05,Netflix subscription,-12.99
2026-05-06,Starbucks coffee,-3.9
2026-05-07,Mercadona groceries,-27.4
2026-05-09,Restaurant dinner,-26.8
2026-05-10,Spotify subscription,-9.99
2026-05-12,Lidl groceries,-18.6
2026-05-14,Cafe breakfast,-6.1
2026-05-16,Uber trip downtown,-10.2
2026-05-17,McDonalds lunch,-7.8
2026-05-19,Aldi groceries,-22.9
2026-05-22,Restaurant tapas,-24.3
2026-05-25,Prime subscription,-8.99
2026-05-30,Freelance payment,180.0
2026-06-01,Salary,2950.0
2026-06-02,Carrefour groceries,-74.1
2026-06-03,Uber airport ride,-42.6
2026-06-04,Netflix subscription,-12.99
2026-06-05,Starbucks coffee,-6.7
2026-06-06,Mercadona groceries,-58.8
2026-06-08,Restaurant dinner,-61.9
2026-06-10,Spotify subscription,-9.99
2026-06-12,Lidl groceries,-33.5
2026-06-14,Cafe brunch,-16.4
2026-06-16,Uber ride home,-12.8
2026-06-18,McDonalds lunch,-11.1
2026-06-20,Aldi groceries,-34.6
2026-06-23,Restaurant sushi,-69.7
2026-06-25,Prime subscription,-8.99
2026-06-29,Bonus,300.0
